datetime,temp_c,humidity,wind_speed,energy_mw,hour,dayofweek,month,is_weekend,hour_sin,hour_cos,doy_sin,doy_cos,energy_lag_1h,energy_lag_2h,energy_lag_3h,energy_lag_24h,energy_lag_168h,energy_roll_mean_24h,energy_roll_std_24h,temp_roll_mean_24h,energy_roll_mean_168h,energy_roll_std_168h,temp_roll_mean_168h
2018-01-08 00:00:00,0.44,74.3,1.63,3411.7,0,0,1,0,0.0,1.0,0.13718540405660057,0.9905453876091833,2993.0,2857.4,2690.2,3137.4,3376.1,2662.3333333333335,230.09279728474746,3.3712500000000003,2880.848214285714,268.73905291130694,3.288095238095238
2018-01-08 01:00:00,0.09,74.8,5.1,3392.1,1,0,1,0,0.25881904510252074,0.9659258262890683,0.13718540405660057,0.9905453876091833,3411.7,2993.0,2857.4,3170.6,3426.6,2673.7625,259.6326029846977,3.4425000000000003,2881.060119047619,269.1456327595128,3.2835714285714284
2018-01-08 02:00:00,-1.84,79.5,3.13,3316.7,2,0,1,0,0.49999999999999994,0.8660254037844387,0.13718540405660057,0.9905453876091833,3392.1,3411.7,2993.0,3099.7,3269.5,2682.9916666666663,281.11006960243344,3.484166666666667,2880.8547619047617,268.73975096669903,3.3007738095238093
2018-01-08 03:00:00,0.77,66.6,2.96,3140.3,3,0,1,0,0.7071067811865476,0.7071067811865476,0.13718540405660057,0.9905453876091833,3316.7,3392.1,3411.7,2842.7,3163.7,2692.0333333333333,298.073846506223,3.4825,2881.135714285714,269.17281435225397,3.2822023809523815
2018-01-08 04:00:00,-1.35,68.0,6.01,3043.2,4,0,1,0,0.8660254037844386,0.5000000000000001,0.13718540405660057,0.9905453876091833,3140.3,3316.7,3392.1,2657.9,3101.0,2704.433333333333,310.54347405051544,3.54625,2880.996428571428,269.03174086333905,3.2771428571428576
2018-01-08 05:00:00,-2.87,73.3,2.06,2876.4,5,0,1,0,0.9659258262890683,0.25881904510252074,0.13718540405660057,0.9905453876091833,3043.2,3140.3,3316.7,2540.2,2955.7,2720.4875,317.9054115716222,3.390416666666667,2880.652380952381,268.78555327061684,3.3016666666666663
2018-01-08 06:00:00,-2.37,63.7,3.97,2791.7,6,0,1,0,1.0,6.123233995736766e-17,0.13718540405660057,0.9905453876091833,2876.4,3043.2,3140.3,2432.9,2795.7,2734.495833333333,317.0217445280747,3.249166666666667,2880.1803571428572,268.72259370276,3.3051190476190477
2018-01-08 07:00:00,2.09,73.6,4.61,2654.5,7,0,1,0,0.9659258262890683,-0.25881904510252063,0.13718540405660057,0.9905453876091833,2791.7,2876.4,3043.2,2492.2,2755.5,2749.445833333333,310.5753636456437,3.135,2880.1565476190476,268.7303007992405,3.286488095238095
2018-01-08 08:00:00,6.57,75.1,6.08,2635.4,8,0,1,0,0.8660254037844387,-0.4999999999999998,0.13718540405660057,0.9905453876091833,2654.5,2791.7,2876.4,2514.8,2809.5,2756.2083333333335,306.47037152584426,3.26375,2879.5553571428572,269.1235347886116,3.2960714285714285
2018-01-08 09:00:00,4.06,63.1,2.7,2708.0,9,0,1,0,0.7071067811865476,-0.7071067811865475,0.13718540405660057,0.9905453876091833,2635.4,2654.5,2791.7,2519.0,2899.9,2761.233333333333,303.31248725948757,3.6054166666666667,2878.519047619048,269.72943106439266,3.322142857142857
2018-01-08 10:00:00,4.39,72.0,7.04,2837.2,10,0,1,0,0.49999999999999994,-0.8660254037844387,0.13718540405660057,0.9905453876091833,2708.0,2635.4,2654.5,2573.9,2955.3,2769.108333333333,299.17517904001284,3.6758333333333333,2877.3767857142857,270.0444931122741,3.339523809523809
2018-01-08 11:00:00,6.37,61.9,8.46,2860.4,11,0,1,0,0.258819045102521,-0.9659258262890682,0.13718540405660057,0.9905453876091833,2837.2,2708.0,2635.4,2539.7,3004.3,2780.079166666667,296.5214765726778,3.6716666666666664,2876.6738095238097,269.99414325830054,3.3269642857142854
2018-01-08 12:00:00,9.75,56.1,8.33,2831.0,12,0,1,0,1.2246467991473532e-16,-1.0,0.13718540405660057,0.9905453876091833,2860.4,2837.2,2708.0,2608.2,3082.9,2793.441666666666,292.4156227859172,3.52,2875.817261904762,269.81502845557316,3.321964285714286
2018-01-08 13:00:00,7.67,82.3,1.54,2889.3,13,0,1,0,-0.2588190451025208,-0.9659258262890683,0.13718540405660057,0.9905453876091833,2831.0,2860.4,2837.2,2523.4,3099.4,2802.725,289.8040151100627,3.6454166666666663,2874.317857142857,269.35688107009935,3.3427380952380954
